Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.000032,0.000016,0.335981,0.000006,0.000055,0.000004,0.663906,0.081552,0.183284,0.578881,0.015480,0.125878,0.014925,0.007110,0.866455,0.126435,3.304261e-01,2.523552e-01,0_a
0.000007,0.000006,0.027346,0.000001,0.000007,0.000002,0.972631,0.066032,0.164758,0.590632,0.022913,0.116829,0.038837,0.011291,0.180537,0.808171,3.580932e-01,1.974163e-01,0_b
0.003483,0.284916,0.010403,0.004684,0.004825,0.075586,0.616103,0.056913,0.358711,0.100918,0.033772,0.278887,0.170799,0.102650,0.176900,0.720450,4.701893e-01,9.288360e-02,1_a
0.000119,0.000020,0.647804,0.000006,0.000070,0.000001,0.351980,0.118871,0.299684,0.439178,0.021521,0.082268,0.038479,0.007519,0.595941,0.396541,2.523696e-01,6.346252e-02,1_b
0.011395,0.096986,0.430936,0.015841,0.040590,0.026126,0.378125,0.215405,0.438105,0.146177,0.026726,0.037131,0.136457,0.004722,0.966718,0.028559,1.281923e-01,-3.845770e-03,2_a
0.003401,0.126636,0.044417,0.002693,0.004660,0.021114,0.797079,0.101005,0.248957,0.150841,0.022334,0.030162,0.446700,0.014821,0.948399,0.036780,2.051118e-03,8.940297e-03,2_b
