ID,VideoTitle,Name,Sex,Academic Status,VideoID,IsNativeSpeaker
293,Measuring and Understanding Photo Sharing Experiences in Social Virtual Reality,Jie Li,Female,PhD,XaGScDQIRdA,Asian Non-Native
294,Question in Measuring and Understanding Photo Sharing Experience in Social VR,,Female,,XaGScDQIRdA,Europ. Non-Native
295,Question in Measuring and Understanding Photo Sharing Experience in Social VR,,Female,,XaGScDQIRdA,Asian Non-Native
296,Metaphoria: An Algorithmic Companion for Metaphor Creation,Katy Gero,Female,Grad Student,kyFipX3y5Sk,Native Speaker
297,Question in Metaphoris,,Male,,kyFipX3y5Sk,Native Speaker
298,Question in Metaphoris,,Male,,kyFipX3y5Sk,Native Speaker
299,Navigating Ride-Sharing Regulations: How Regulations Changed the 'Gig' of Ride-Sharing for...,Anita Chen,Female,Grad Student,7cV4xlsEeks,Native Speaker
300,Question in Navigating Ride-Sharing Regulations,,Male,,7cV4xlsEeks,Europ. Non-Native
301,Question in Navigating Ride-Sharing Regulations,,Male,,7cV4xlsEeks,Native Speaker
302,Question in Navigating Ride-Sharing Regulations,,Female,,7cV4xlsEeks,Native Speaker
303,Neighborhood Perception in Bar Charts,Mingqian Zhao,Female,PhD,MkxIZNPbPkk,Asian Non-Native
304,Question in Neighborhood Perception in Bar Charts,,Male,,MkxIZNPbPkk,Native Speaker
305,Question in Neighborhood Perception in Bar Charts,,Male,,MkxIZNPbPkk,Native Speaker
306,Question in Neighborhood Perception in Bar Charts,,Male,,MkxIZNPbPkk,Native Speaker
307,Of Mice and Pants: Queering the Conventional Gamer Mouse for Cooperative Play,Sabine Harrer,Female,PhD,njDAgaLvLfo,Europ. Non-Native
308,Question in Of Mice and Pants,,Female,,njDAgaLvLfo,Native Speaker
309,Question in Of Mice and Pants,,Female,,njDAgaLvLfo,Native Speaker
310,Older People Inventing their Personal Internet of Things with the IoT Un-Kit Experience,Aloha Hufana Ambe,Female,Grad Student,U3nOwgiEb3w,Asian Non-Native
311,Question in Older People Inventing their Personal IoT,,Male,,U3nOwgiEb3w,Asian Non-Native
312,Question in Older People Inventing their Personal IoT,,Male,,U3nOwgiEb3w,Native Speaker
313,"On the Internet, Nobody Knows You're a Dog.. Unless You're Another Dog",Ilyena Hirskyj-Douglas,Female,PhD,ClU087JidS4,Native Speaker
314,"Question in On the Internet, Nobody Knows You're A Dog",,Male,,ClU087JidS4,Native Speaker
315,"Question in On the Internet, Nobody Knows You're A Dog",,Female,,ClU087JidS4,Native Speaker
316,Opportunities for Automating Email Processing: A Need-Finding Study,Soya Park,Female,Grad Student,gQUIl3DMoyk,Asian Non-Native
317,Question in Opportunities for Automating Email Processing,,Female,,gQUIl3DMoyk,Native Speaker
318,Question in Opportunities for Automating Email Processing,,Male,,gQUIl3DMoyk,Native Speaker
319,Participatory Design of a Virtual Reality-Based Reentry Training with a Women's Prison,Melissa Q. Teng,Female,Grad Student,i7kipIN2K6k,Native Speaker
