Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.006363,0.026899,0.130054,0.001658,0.002552,0.003989,0.828486,0.190987,0.443716,0.151412,0.033696,0.106930,0.073258,0.014276,0.924049,0.061675,-1.505881e-02,1.350910e-02,117_a_a.wav
0.000602,0.001949,0.022445,0.000039,0.000220,0.000185,0.974560,0.127964,0.517450,0.107809,0.041083,0.101940,0.103754,0.015455,0.973103,0.011441,-3.280800e-03,6.206201e-02,117_b_a.wav
0.002470,0.004377,0.462122,0.000294,0.001369,0.000331,0.529037,0.174063,0.529351,0.129555,0.028516,0.069806,0.068709,0.011804,0.938982,0.049213,9.698536e-02,-4.118788e-02,118_a_a.wav
0.001076,0.001974,0.599154,0.000104,0.000365,0.000157,0.397170,0.172538,0.473589,0.168150,0.032555,0.085111,0.068058,0.019507,0.880570,0.099924,7.053246e-02,-3.611678e-02,118_b_a.wav
0.000155,0.000881,0.002013,0.000027,0.000115,0.000115,0.996695,0.044381,0.402018,0.076798,0.042963,0.073360,0.360479,0.022415,0.954496,0.023089,-1.520318e-01,2.813176e-02,119_a_q.wav
0.000665,0.008017,0.028155,0.000171,0.000427,0.001120,0.961445,0.045662,0.563491,0.072457,0.048903,0.095539,0.173949,0.022315,0.895265,0.082421,-1.030807e-01,-3.505465e-03,120_a_q.wav
0.007155,0.022941,0.114556,0.003320,0.004584,0.001721,0.845724,0.129395,0.468593,0.098968,0.030648,0.037388,0.235008,0.010703,0.597902,0.391395,3.596987e-02,3.180355e-02,121_a_q.wav
0.000272,0.000749,0.016649,0.000050,0.000209,0.000082,0.981991,0.102886,0.465076,0.116421,0.049204,0.078668,0.187744,0.016056,0.934606,0.049338,-4.307889e-03,9.202140e-02,122_a_a.wav
0.003540,0.034548,0.031249,0.001844,0.003498,0.003652,0.921670,0.108942,0.387705,0.120299,0.028806,0.043986,0.310262,0.011695,0.691109,0.297196,3.367918e-02,9.352430e-02,123_a_q.wav
0.000337,0.000587,0.056292,0.000017,0.000227,0.000094,0.942446,0.102701,0.425048,0.198677,0.029144,0.163372,0.081057,0.004667,0.846945,0.148388,2.023120e-02,-2.682864e-02,124_a_a.wav
0.000531,0.006717,0.008465,0.000130,0.000411,0.000859,0.982887,0.067815,0.305728,0.143341,0.027854,0.082969,0.372293,0.017128,0.950215,0.032658,-1.466144e-01,-1.637703e-01,125_a_q.wav
0.000331,0.004867,0.025756,0.000051,0.000271,0.000617,0.968106,0.088239,0.385069,0.154633,0.030977,0.152219,0.188862,0.011579,0.962264,0.026158,-2.409005e-02,-4.406823e-04,126_a_a.wav
0.001045,0.009944,0.020576,0.000233,0.000706,0.001448,0.966048,0.145434,0.412880,0.098576,0.031743,0.146154,0.165213,0.011540,0.971480,0.016980,-6.652094e-03,-3.767144e-02,126_b_a.wav
