arousal,valence,emodbEmotion,emodbEmotion_LABEL,abcAffect,abcAffect_LABEL
2.523696e-01,6.346252e-02,0.000119,anger,0.118871,aggressiv
,,0.000020,boredom,0.299684,cheerful
,,0.647804,disgust,0.439178,intoxicated
,,0.000006,fear,0.021521,nervous
,,0.000070,happiness,0.082268,neutral
,,0.000001,neutral,0.038479,tired
,,0.351980,sadness,,
