arousal,valence,emodbEmotion,emodbEmotion_LABEL,abcAffect,abcAffect_LABEL
4.701893e-01,9.288360e-02,0.003483,anger,0.056913,aggressiv
,,0.284916,boredom,0.358711,cheerful
,,0.010403,disgust,0.100918,intoxicated
,,0.004684,fear,0.033772,nervous
,,0.004825,happiness,0.278887,neutral
,,0.075586,neutral,0.170799,tired
,,0.616103,sadness,,
